"parameter","true_beta","mean_beta","abs_bias","rel_bias","bias","emp_sd","true_se","mean_se","emp_sd_se","se_bias","abs_se_bias","coverage","rel_se_bias","rmse_beta","rmse_se"
"(Intercept):1",1.13803132833365,1.1462185425184,0.0081872141847521,0.00719419051208385,0.0081872141847521,0.0710549993204399,0.244340513296894,0.243236301314366,0.00424854332772717,-0.00110421198252711,0.00110421198252711,1,0.00451915225857532,0.0714545014584656,0.00438557912585286
"(Intercept):2",1.99943269672895,2.01030287902106,0.0108701822921098,0.00543663325596971,0.0108701822921098,0.0736831615829687,0.256180233532656,0.255246443780109,0.00437123938181641,-0.000933789752546987,0.000933789752546987,1,0.00364504996997731,0.0744077331150725,0.00446558860259632
"childrenyes",-0.634610479982606,-0.644112052015385,0.00950157203277924,0.0149722898257836,-0.00950157203277924,0.0760294230831839,0.250412848092966,0.249201846111176,0.00403601588199676,-0.00121100198179058,0.00121100198179058,1,0.00483602175772146,0.0765453597490216,0.00420991343749861
"religiousness.L",0.998099609232492,0.998419043788598,0.000319434556105835,0.00032004276241674,0.000319434556105835,0.0845240073234012,0.28674415630271,0.286974210414438,0.00455072550772681,0.000230054111728883,0.000230054111728883,1,0.000802297472057357,0.0844400452203456,0.00455198960188899
"religiousness.Q",-0.24155297419975,-0.238170198116568,0.00338277608318188,0.0140042824742225,0.00338277608318188,0.0780830819200577,0.261707234929522,0.261969661125466,0.00332367198666291,0.000262426195944465,0.000262426195944465,1,0.00100274719579356,0.0780782743200637,0.00333070103616278
"religiousness.C",0.0983325992281782,0.0944638538112543,0.00386874541692389,0.0393434674491475,-0.00386874541692389,0.0654684229187779,0.218764205769331,0.218896697867096,0.00186281844955916,0.00013249209776528,0.00013249209776528,1,0.000605638830627447,0.0655172447663513,0.00186566517543642
"religiousness^4",-0.580186006308176,-0.577021607771847,0.00316439853632966,0.00545411040928973,0.00316439853632966,0.057406926808641,0.195204674639945,0.195475309912933,0.00143225897401628,0.000270635272988318,0.000270635272988318,1,0.0013864179917182,0.0574367265189979,0.00145619589619609
"rating.L",1.44370148773569,1.4468358062721,0.00313431853641499,0.00217102951201559,0.00313431853641499,0.109138184507835,0.341694809874386,0.342865045575091,0.00828440603174889,0.00117023570070535,0.00117023570070535,1,0.00342479799776751,0.109074034415706,0.0083584431640997
"rating.Q",0.168821807592129,0.169346827948917,0.000525020356788031,0.00310990839558165,0.000525020356788031,0.0959823388328978,0.312199265465304,0.313364070314498,0.00654653308345369,0.00116480484919346,0.00116480484919346,1,0.00373096601446971,0.0958877458045217,0.0066429023445052
"rating.C",-0.223558771032114,-0.225494014165183,0.00193524313306859,0.00865652966391818,-0.00193524313306859,0.0750683168401285,0.244915092622154,0.245696380868055,0.00299727781690458,0.000781288245901041,0.000781288245901041,1,0.00319003715751558,0.0750181768294031,0.00309453038218531
"rating^4",0.293469448576037,0.297727703125962,0.0042582545499254,0.0145100437902043,0.0042582545499254,0.0653130562041592,0.22490079308986,0.225141583295868,0.00201636092213038,0.000240790206008035,0.000240790206008035,1,0.00107065076427644,0.0653865158264161,0.00202868427037508
