"dataset","term","estimate","se"
1,"(Intercept):1",1.26613635773888,0.239477362842311
1,"(Intercept):2",2.12261191545865,0.252465321032625
1,"childrenyes",-0.67971501529036,0.250015029351403
1,"religiousness.L",0.967102137217434,0.282209804840574
1,"religiousness.Q",-0.209859743926351,0.257794631282444
1,"religiousness.C",0.0803143337634115,0.217709958495571
1,"religiousness^4",-0.58610032257389,0.195358100610842
1,"rating.L",1.14252417439832,0.320125609611124
1,"rating.Q",0.382468523107878,0.29617880989278
1,"rating.C",-0.369059625990342,0.238308433176777
1,"rating^4",0.346380357843614,0.224204097446763
2,"(Intercept):1",1.12697729961326,0.22655674481662
2,"(Intercept):2",1.97946894319289,0.239384367175981
2,"childrenyes",-0.510510938724528,0.241584879889597
2,"religiousness.L",0.963875540258536,0.279445050420978
2,"religiousness.Q",-0.250762915239472,0.256888170118714
2,"religiousness.C",0.0647797759044851,0.217253981354257
2,"religiousness^4",-0.567609017751768,0.195701200863854
2,"rating.L",1.19899358462654,0.297158212781968
2,"rating.Q",0.410715021388825,0.282699126640183
2,"rating.C",-0.284858227026939,0.232411345556598
2,"rating^4",0.338984493948525,0.223762943169151
3,"(Intercept):1",1.24862798389542,0.239064298397173
3,"(Intercept):2",2.12053676962281,0.252366844111165
3,"childrenyes",-0.655029666939631,0.248594250930532
3,"religiousness.L",0.899974083540357,0.278870684842108
3,"religiousness.Q",-0.238691076171505,0.25692953284307
3,"religiousness.C",0.10789481094102,0.217866440882505
3,"religiousness^4",-0.565713110328429,0.197495759283351
3,"rating.L",1.2166591123655,0.321045962218202
3,"rating.Q",0.387305421010905,0.29674940552635
3,"rating.C",-0.35402511852592,0.238253931482118
3,"rating^4",0.405482659107365,0.226344376933163
4,"(Intercept):1",1.20156573134396,0.233926451077133
4,"(Intercept):2",2.05223830461855,0.246659768136596
4,"childrenyes",-0.643617004633406,0.248265373628836
4,"religiousness.L",1.03917294588056,0.283078524248665
4,"religiousness.Q",-0.258311265034024,0.258637031740315
4,"religiousness.C",0.105004349746138,0.218726199250527
4,"religiousness^4",-0.58812143625589,0.19695863077033
4,"rating.L",1.32866297702487,0.289211782451518
4,"rating.Q",0.19128747840681,0.273682081687192
4,"rating.C",-0.30100496359803,0.230444066168308
4,"rating^4",0.307689125579575,0.227757385780908
5,"(Intercept):1",1.17239767114122,0.234922152527413
5,"(Intercept):2",2.03977345503854,0.247844034599841
5,"childrenyes",-0.577457221411481,0.246791243504459
5,"religiousness.L",1.02658759449082,0.286104649363004
5,"religiousness.Q",-0.206171076515183,0.260891741063989
5,"religiousness.C",0.128580958553877,0.219094651862418
